2022-12-22 13:14:783 INFO  HomePage :57 - hovering on desktop tab
2022-12-22 13:14:88 INFO  DesktopPage :42 - Clicking on sort by button [[ChromeDriver: chrome on WINDOWS (7cd07f469142d09b3d86bae1d0491690)] -> id: input-sort]
2022-12-22 13:14:168 INFO  DesktopPage :54 - selectName (Z - A)from[[ChromeDriver: chrome on WINDOWS (7cd07f469142d09b3d86bae1d0491690)] -> id: input-sort]
2022-12-22 13:14:253 INFO  HomePage :61 - hovering on laptop and notebook tab
2022-12-22 13:14:552 INFO  HomePage :117 - Clicking on my account [[ChromeDriver: chrome on WINDOWS (7b639f92cd64643e67a2ccfda670ada6)] -> xpath: //span[contains(text(),'My Account')]]
2022-12-22 13:14:903 INFO  LoginPage :44 - Getting returning customer text [[ChromeDriver: chrome on WINDOWS (7b639f92cd64643e67a2ccfda670ada6)] -> xpath: //input[@value='Login']]
2022-12-22 13:15:956 INFO  HomePage :117 - Clicking on my account [[ChromeDriver: chrome on WINDOWS (a204fff7d2463ca3a4e69ec4ab5dbf2b)] -> xpath: //span[contains(text(),'My Account')]]
2022-12-22 13:15:533 INFO  HomePage :57 - hovering on desktop tab
2022-12-22 13:15:29 INFO  DesktopPage :37 - Getting desktop text [[ChromeDriver: chrome on WINDOWS (bfc49421faa9e3f0ecf9d7f36a956443)] -> xpath: //h2[contains(text(),'Desktops')]]
2022-12-22 13:15:58 INFO  DesktopPage :37 - Getting desktop text [[ChromeDriver: chrome on WINDOWS (bfc49421faa9e3f0ecf9d7f36a956443)] -> xpath: //h2[contains(text(),'Desktops')]]
2022-12-22 13:16:256 INFO  HomePage :57 - hovering on desktop tab
2022-12-22 13:16:490 INFO  DesktopPage :42 - Clicking on sort by button [[ChromeDriver: chrome on WINDOWS (1634c129c254a2ca261583f3647e991d)] -> id: input-sort]
2022-12-22 13:16:562 INFO  DesktopPage :54 - selectName (A - Z)from[[ChromeDriver: chrome on WINDOWS (1634c129c254a2ca261583f3647e991d)] -> id: input-sort]
2022-12-22 13:16:51 INFO  DesktopPage :59 - Clicking on product HPLP3065 [[ChromeDriver: chrome on WINDOWS (1634c129c254a2ca261583f3647e991d)] -> xpath: //a[contains(text(),'HP LP3065')]]
2022-12-22 13:16:588 INFO  ShoppingCartPage :58 - Verifying if success message contains Shopping Cart
2022-12-22 13:16:659 INFO  ShoppingCartPage :67 - Verifying if success message contains 2022-11-30
2022-12-22 13:16:691 INFO  ShoppingCartPage :72 - getting text of model selected
2022-12-22 13:16:718 INFO  ShoppingCartPage :77 - changing currency to GBP and returning text of total amount
2022-12-22 13:16:123 INFO  HomePage :61 - hovering on laptop and notebook tab
2022-12-22 13:16:574 INFO  DesktopPage :42 - Clicking on sort by button [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> id: input-sort]
2022-12-22 13:16:645 INFO  DesktopPage :54 - selectPrice (High > Low)from[[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> id: input-sort]
2022-12-22 13:16:16 INFO  LaptopAndNoteBookPage :77 - Clicking on macbook [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> link text: MacBook]
2022-12-22 13:16:44 INFO  MacBookPage :30 - Getting macbook text [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> xpath: //h1[contains(text(),'MacBook')]]
2022-12-22 13:16:716 INFO  ShoppingCartPage :53 - Verifying if success message contains Shopping Cart
2022-12-22 13:16:769 INFO  CheckoutPage :77 - Getting macbook text [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> xpath: //div[@class='table-responsive']//a[text()='MacBook']]
2022-12-22 13:16:786 INFO  ShoppingCartPage :84 - clear quantity and add quantity of 2
2022-12-22 13:16:884 INFO  ShoppingCartPage :90 - clicking on update cart
2022-12-22 13:16:219 INFO  ShoppingCartPage :95 - Verifying if success message contains Success: You have added HP LP3065 to your shopping cart!
2022-12-22 13:16:276 INFO  ShoppingCartPage :77 - changing currency to GBP and returning text of total amount
2022-12-22 13:16:858 INFO  ShoppingCartPage :100 - Clicking on checkout Button [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> css selector: a.btn.btn-primary]
2022-12-22 13:16:156 INFO  CheckoutPage :82 - Getting checkout text [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> xpath: //h1[contains(text(),'Checkout')]]
2022-12-22 13:16:226 INFO  CheckoutPage :88 - Getting new customer text [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> xpath: //h2[contains(text(),'New Customer')]]
2022-12-22 13:16:258 INFO  CheckoutPage :94 - Clicking on radio button [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> xpath: //div[@id='checkout-checkout']//input[@value='guest']]
2022-12-22 13:16:427 INFO  CheckoutPage :100 - Clicking on continue button [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> xpath: //input[@id='button-account']]
2022-12-22 13:16:10 INFO  CheckoutPage :131 - Enter namePriyankato first name field [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> id: input-payment-firstname]
2022-12-22 13:16:349 INFO  CheckoutPage :137 - Enter namePatelto last name field [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> id: input-payment-lastname]
2022-12-22 13:16:686 INFO  CheckoutPage :143 - Enter emailpriyankato email field [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> id: input-payment-email]
2022-12-22 13:16:06 INFO  CheckoutPage :149 - Enter telephone03562835284to field [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> id: input-payment-telephone]
2022-12-22 13:16:305 INFO  CheckoutPage :155 - Enter address10 XYZ Roadto field [[ChromeDriver: chrome on WINDOWS (03b2f680f2f09afe5a399b2aed7ed2c8)] -> id: input-payment-address-1]
